"IDcountry","(Intercept)","ST28Q012","ST28Q013","ST28Q014","ST28Q015","ST28Q016","ST27Q032","ST27Q033","ST27Q034","ST37Q052","ST37Q053","ST37Q054","ST13Q012","ST13Q013","ST13Q014","ST13Q015","ST37Q022","ST37Q023","ST37Q024","ST26Q062","ST17Q012","ST17Q013","ST17Q014","ST17Q015","IC01Q042","IC01Q043","ST27Q042","ST27Q043","ST27Q044","IC01Q092","IC01Q093","ST62Q192","ST62Q193","ST62Q194","ST62Q195","ST42Q022","ST42Q023","ST42Q024","ST26Q042","ST37Q012","ST37Q013","ST37Q014","ST37Q032","ST37Q033","ST37Q034","ST62Q062","ST62Q063","ST62Q064","ST62Q065","ST43Q062","ST43Q063","ST43Q064","ST07Q012","ST07Q013","ST05Q012","ST05Q013","ST62Q032","ST62Q033","ST62Q034","ST62Q035","ST84Q032","ST84Q033","ST84Q034","ST37Q072","ST37Q073","ST37Q074","ST27Q052","ST27Q053","ST27Q054","ST42Q032","ST42Q033","ST42Q034","ST42Q082","ST42Q083","ST42Q084","ST42Q052","ST42Q053","ST42Q054","ST37Q042","ST37Q043","ST37Q044","SC14Q052","SC14Q053","SC14Q054","IC03Q012","IC03Q013","IC03Q014","IC03Q015","ST62Q122","ST62Q123","ST62Q124","ST62Q125","ST62Q162","ST62Q163","ST62Q164","ST62Q165","ST61Q072","ST61Q073","ST61Q074","ST42Q012","ST42Q013","ST42Q014","ST61Q052","ST61Q053","ST61Q054","ST79Q072","ST79Q073","ST79Q074","ST91Q062","ST91Q063","ST91Q064","ST27Q012","ST27Q013","ST27Q014","ST62Q022","ST62Q023","ST62Q024","ST62Q025","IC22Q082","IC22Q083","IC22Q084","ST79Q042","ST79Q043","ST79Q044","ST15Q012","ST15Q013","ST15Q014","SC44Q062","SC44Q063","ST35Q032","ST35Q033","ST35Q034","ST84Q012","ST84Q013","ST84Q014","SC22Q012","SC22Q013","SC22Q014","ST61Q092","ST61Q093","ST61Q094","ST37Q062","ST37Q063","ST37Q064","ST93Q012","ST93Q013","ST93Q014","ST93Q015","ST26Q112","SC14Q082","SC14Q083","SC14Q084"
"ALB",381.048944529224,0.345975884992526,-14.2588613606032,-6.90607018933049,-7.35648264140988,15.5755571616461,-16.5406158625243,-15.3380597732995,-17.3222115678311,-0.268174864792443,-1.14553481069845,9.31104221191012,6.62726968035596,-4.70039220423409,-1.78916362108105,7.8839194051581,-7.26829332742189,-3.58180003205487,0.960079242273888,8.36253108140736,7.64371929148598,1.21966608495833,5.91356403142311,14.8940611240077,-11.185847484409,-2.82783943069108,9.06859766232288,6.87641692282744,5.18029110654448,-5.59645339861154,-2.08027837837677,-1.23207221753152,-8.5161047416007,0.283364295214125,-0.311686159868139,8.23417991708233,-3.0841638657893,-9.3439640266359,-6.98721743372574,2.15386950787452,3.27137902039808,5.22270760521833,1.29921334463756,-8.46845692102269,10.8862834763591,8.90564535444122,4.94532718191066,4.26435720022966,9.47071866180271,-10.5543430331301,-6.14227487847519,-16.3213067854055,9.12782316891333,2.76775378627879,-0.328348768266372,9.26803910740716,1.8032372347559,11.5176020621711,-4.85568974909363,-1.81379177099512,-3.8065670609043,-4.89751245901808,-2.04079082165371,-8.68690229297738,-9.79496433273423,-0.238358338874442,0.99008583932544,-0.711239643261368,6.56755217255242,-5.43292730529772,-2.20758499715834,7.94395626791389,6.95309644004586,7.08034001890384,8.10437199979267,-4.28909917387374,-1.35756405664163,-4.67209224779296,5.64357549103562,5.66548910669044,7.55388349730118,11.3708753752708,-0.677208529283287,-7.98684810664823,4.78891476584624,7.32811750352236,0.902176582752934,0.568433345532549,2.17764078697229,-5.82473676148865,-0.907491373696034,0.510437619487035,9.80841006282171,-6.7521945348207,-0.396092576044209,-8.27243905664876,-1.66249006536855,-12.5186083704298,-14.2865127984795,8.73184340809029,-0.337978816619883,8.28789169111628,-6.28477497095361,10.8722787380826,16.0184970451451,-2.61048739922719,3.76828503867027,7.08773001428484,8.00435791331837,-1.45505349242217,0.764884196646195,14.8263152352633,7.48771062404906,3.06129568205145,12.1427486853628,-7.15248813726198,11.7915037796185,3.72052852102599,1.22469608645118,-0.123007201857163,4.59101360039408,13.5833993549953,3.16136327065194,1.56945943764093,2.00770692081551,6.25573303212863,6.03803634632607,8.54872687182828,11.6332162876229,-3.51480761364542,-0.641134407668534,1.24838554609604,-5.06169208520645,-1.14252682336746,-12.8962096085445,-2.12519831301467,-3.88379004626387,-42.9165395711533,4.39199307963941,0.681984388261477,-19.5474502234807,5.90854453091501,0.238391598830468,-11.5613862625775,-7.93248369245394,-1.77984883371944,-3.61216164684758,0.244115368313435,6.73246068649848,-7.8318339879576,-7.24727016067607,-1.67577114446912
"ARE",334.097821152873,8.77560473176763,16.354197698732,20.6756780388104,31.9562178426582,0.164531465587706,3.00461955498437,-2.70968339200926,7.82107570627635,-8.64690214938058,-13.1679092517779,-9.11121626106342,-1.60427388015493,-9.26937328831164,2.12310145586181,-1.76347918774587,-14.9142512356304,-14.2275493661664,-20.6722974460099,-10.762428491671,-2.7492617204601,-5.17020747586147,-8.28219153168983,-1.68881161939894,-2.42805437094402,-2.14453886729232,15.305687819297,7.68881075607548,-13.0718318037549,-2.17092611466954,0.686889496462095,0.351645308994626,1.32123941522821,8.87388127752192,11.1072847972965,-0.82875996675805,5.10741389087924,7.5264271856964,1.86389772130558,-5.00577630358239,-6.11666003225332,-9.35363497512584,-8.88151541909064,-14.099842436565,-13.2556541708406,-1.43251260865473,-0.90827829153787,3.30306056642621,7.24125003399642,7.28689938662055,12.3383973477378,14.6449402042301,-26.99021125676,-41.9815851191106,5.31574162290885,9.14911261121416,-5.07103884799123,-1.90039767988792,1.69517332857846,5.74934323148953,-6.6008740157994,1.4358770863547,2.13760284785113,-1.12055706329219,-4.87451981511335,0.220145079730402,5.93380768614017,12.0963504738378,7.3272816903669,3.07980794703634,8.6434938145564,14.4687346017102,1.12480548656391,7.36446608912226,13.8954270196564,5.50178019005609,5.91733169312078,2.52527051779463,-2.34082509539598,-7.59100355239332,-16.2895628605545,-9.04820019531943,-7.54862324631214,-9.44586545604273,-1.98822732015774,0.307111147742983,1.01054280516427,-3.5155988007296,-2.84630239744689,3.58827209250369,3.2501535578062,6.27118702573349,-4.48395759707204,-0.262046568960318,-0.903400438639975,14.8086755926539,-3.6397981365244,-1.12215318876717,-1.02132377622889,6.16815310196516,10.1587786209763,14.4529333917257,-6.8826296468452,-14.1491625185831,-7.35198388901533,8.97745228783624,11.2650409163779,9.43872001879435,6.66398574914222,10.1268285657613,16.1237582123227,5.45036145639978,14.9541327132446,27.1507546964168,6.59280793972262,4.76196674194055,6.12920907107126,5.30663572468848,-1.33739609635378,-2.05700824447204,-2.2916827442345,5.48690295819447,9.11668139707107,16.1666441635743,-0.839533084510769,-7.16263312718785,-0.431315039668288,-21.136227415351,-24.056392846429,3.64445128796284,18.7794239908307,14.6775030126715,3.85909136302792,7.21820607399688,8.7068029427022,2.60223360879457,-12.7889302461428,-1.84234790224757,-9.26966493341285,-7.21397756801236,-10.5157144740489,-3.82338391157696,-3.75358958254902,-4.783832006141,1.28903314216464,5.91384087593555,12.9573252771122,10.1882831252195,-3.82514639311654,0.938279296968926,-12.5750982729621,-7.11013190506844
"ARG",342.000123271111,4.00597107853746,5.51534204800524,19.1702416009381,20.2651931817752,8.19479935997002,1.76231518829224,1.46726402064154,9.742100540459,-4.69800409692334,-12.4934952637269,-7.53982193224429,-20.4272013892459,-2.42022365568029,-4.91171770376282,-12.7788926643136,-3.16235189995159,-5.87102154132044,-15.4015873538246,-4.13542629150615,-20.5469843842715,-8.4798967033465,-12.3731813774055,-15.8148869533238,5.43091426263786,6.78605724427839,6.49950440903284,0.664261016208158,4.3886142866763,1.42864528103545,-1.34063293989169,5.22086800209755,4.42475333246801,3.0347377453078,2.61740813634423,-2.24715535171275,8.00754934186006,12.1668069524368,-0.410378263468252,-2.95541497712003,-11.2806847443828,-9.13996512110833,-3.09090765587352,-6.014245279486,-7.59275298058518,7.18730417315729,5.44319255064478,1.68306847203486,2.87098549039994,3.44314740500593,8.75990857946285,12.5924369271106,-33.4332256179882,-52.5869017380718,9.94957265174813,17.5699942212347,2.43296922263706,-3.39110252814752,1.89998616972434,2.29976642385337,-0.123142678132446,6.22700673609252,5.89474440492283,2.13420216294946,2.79423810271295,-7.92707308071975,-0.415334897189916,1.60263330993227,-1.87885059755807,-2.42415801825115,0.849877649131647,11.415832177002,3.47839274708622,10.1768934808804,8.88671516413894,4.79658531134249,8.15600768471587,6.56802493857171,-3.64404281569878,-8.89435745080832,-6.46293993604473,-7.5355980133016,-5.05546082831948,-12.2200451075486,0.379948003997075,0.422064610277432,-1.66604047543823,10.0350132575265,0.385630519001765,8.79513204374569,5.78252776978438,7.05317262260311,2.08838151588825,6.85617977702386,8.75617331712753,3.41921580443252,-1.01914532814788,-4.28871965668411,-1.75914714005176,5.99149133658183,7.71131171935026,2.51763290458157,-0.961455976150677,-2.6990883853161,-0.2564247860873,8.14228282633566,7.2678477366433,6.27749550346662,0.429933965083328,1.19382047694332,2.19469028222593,-20.0008104721506,-1.28455199201329,4.0460673823174,-2.35586862598048,1.35935295078459,6.68853263135217,13.8243352564866,-3.58147799840059,-0.730059489860833,-0.0953299537077329,1.97570081117202,-2.71137035526822,-1.82303758883746,5.00763014165664,-3.91924578587436,1.06605349590457,11.7833963875149,5.80452491597032,3.80055516074387,8.37850704748371,18.6991995001051,2.54298247867053,3.64962731437149,1.93866105793418,3.05610109699423,-19.3878821392059,-26.3429206875789,0.806028689222146,2.52666679355795,3.14710647651547,-5.06904390699168,-2.02802720503613,-6.1347343683672,-4.64788180395074,8.25261990988445,9.06384030524452,7.2720046662216,-5.47742056044659,-5.65871336943545,-9.83258388714682,-19.7566980905345
"AUS",345.488575617994,-1.40888765231417,11.0064762499841,16.1239827259571,29.5517816180447,33.2441629706047,2.75091126200013,9.68091536906785,17.198781081982,-7.55889802936749,-11.2546026250548,-14.4034842813674,-7.50426075585925,-0.0775545391382412,6.51782557148137,-28.2118100033682,-12.2172462470328,-19.2786087888361,-21.0139209884784,0.768795507667104,-7.75759091353383,-2.08213317335929,-3.79089492438986,-8.79758796056983,-2.31816941010773,-11.4468537307163,2.87738326582808,4.0724536001993,-3.39068459127039,-1.42825865420302,1.92170958424426,-0.0649532987038039,2.13235347948927,9.70426323854049,17.8376581847536,7.06600834009822,19.6142607058189,24.7562641915691,-0.135667838094341,-6.68454963294389,-13.0511822059418,-17.5426962595548,-12.3643455149839,-15.0530945532407,-21.0532469560033,5.4278067646263,3.92609288392713,10.4697354313263,19.9155560138973,3.50835588245694,6.62966071430016,7.22857916463164,-22.6464297523322,-52.2119107504346,2.27408015497931,2.07004159059784,-4.45240959625353,3.17490646868878,6.62419928901871,16.5692844642261,-2.95603672537057,8.08623281108557,17.4144164811222,-8.56979763918254,-10.2532638511291,-6.92536939371409,2.45566666216448,8.79497617852727,10.3323534434532,5.25850861269151,4.35919225507614,10.8960100363955,8.34248432888849,11.7771819005824,19.4339854165393,-0.284393032218127,3.80730298615688,4.959834080186,-4.63320852276221,-11.9835337981576,-18.2068988619561,-5.05541508556666,-8.64274284534444,-9.56356778512571,-4.24684062446757,-11.5050196205938,-31.897420979349,-102.80658606134,-1.48373386941286,4.46069869278412,1.83787211423151,11.4270535839021,3.68613383105254,4.57403970919856,12.1896310051843,22.7786227669583,-4.63974866157059,-6.4337446134633,-2.95122013835259,2.86909814547927,6.26160817978447,7.65711971479744,-2.75439457809906,-10.7729704213865,-8.97104927603672,-1.23804059972741,2.25422668309227,9.7453799644784,0.00859842385014,6.69046154435689,8.09724291348317,15.7082968280339,13.7736078393919,9.41296064809912,2.25966988620628,-3.05780222264266,-5.66138707652836,-4.90967257444017,9.75588937114601,38.9626945587812,37.4640799968805,4.067418738318,12.2721957864482,11.133456060299,5.86934483756195,-5.25728113553928,0.517288104726848,-1.54267315889264,-2.75473229347227,0.33758011197453,9.08821353889267,8.25232530297315,0.882978922783379,14.0312466400697,11.7951575142908,-8.00257243926528,-25.8915433031084,-28.1478495628632,-3.127144644834,-1.21942075500276,-7.86629449513538,-4.64271656243192,-14.1451375265684,-11.00426436461,2.81276597440721,7.72381284952345,15.1641765955748,5.65802114277651,-1.68421853868636,-3.65258729353376,-1.91868873561773,-2.43376184239551
"AUT",360.811349313042,5.72215831718949,24.3341844228681,33.8014840854192,46.0718567380213,53.5331371715566,1.96271828124767,1.30489061570587,13.454958119973,-13.8880439437688,-9.25828991923537,-29.4372057812617,1.34948281100268,-7.3497248029228,-28.066990500598,-23.4917638824127,-10.3034486976819,-12.0785398099711,-17.9158306760228,14.7688056704081,-2.83023407921063,11.5205574851144,-12.0897619809491,-1.46226680682657,-1.33748846856155,-34.4036953754881,3.20752242285618,-2.0539491299928,-1.628772511423,-7.20463678857295,-23.8143176701009,6.95203263735353,12.8552939542813,5.7763008530489,9.01660408217016,5.40654469163512,13.000635887104,22.0797118788392,12.2295441139504,-10.3991037122654,-6.76677704949094,-25.9377534580466,-7.26479179154541,-20.4964237952293,-11.467311002236,1.57140740843299,0.558141891541954,8.55713348018067,11.8845000995967,8.13773235594042,7.14555329833358,10.6662617717788,-48.906494946149,-18.2308354489877,4.56144013156668,0.844865794841418,-1.55205714856764,6.5069259675425,4.21195810822749,9.49226959706404,-7.81522629836083,-2.81696026029867,3.12167496497379,-0.0559871284733057,-4.66018574454718,9.62259299117824,3.08683498472295,8.53061291934405,11.8987816770372,5.65077534422719,5.67194860726475,11.9222821589208,7.19690004218237,7.50527735785313,15.3631642091403,-6.75145984565451,-3.58121019377587,6.33069409554961,-3.4018439467079,-14.7330694463674,-26.1108016724328,-8.66099504905856,-11.4047223460346,-9.5599314982234,4.44125906481108,-7.90607816857375,-10.9335493345622,61.028491113885,7.12411105494752,-3.19385912455046,-5.47283110711001,-7.00505986773308,0.178610680212531,4.85446836937372,15.2563616282361,19.5704047290942,-8.5368396419432,-11.1323771364191,-7.29476187925271,4.18713621735543,4.8223839661191,20.1849407673676,-7.81372634165132,-5.80116804539504,-15.4794728500836,-3.72533684383704,6.82350467048279,9.65055137989305,-2.80853239306383,6.42621957649426,9.91132651631168,-41.0683658340001,-3.1015675892419,-2.86753230548295,3.25585111852034,7.41703508535679,8.76211333132358,18.2743295671466,6.22335506988842,25.3259219206833,25.7211632594667,7.69245490404853,10.6657783069756,20.4038664479267,4.09192996112583,-20.528745853339,-0.0682643227560851,-4.36204906256548,7.54336981632621,-0.341261419053858,9.10161961851695,9.01204510786531,2.28455097815562,5.20501715581397,4.18170597144233,10.4266909412028,9.94545629773249,0.197031840595758,5.28167292048118,-1.726426094926,-9.94615079446002,-5.99880098892129,-11.0024467758683,-11.0316728149203,-2.1179227218026,7.59694043055384,19.5496687562637,16.3150588698575,-0.0498466659132085,1.36461900950153,13.3288553449036,-19.6900430075073
"BEL",431.437289051573,7.01571975983845,17.3152195683651,21.4382357064541,23.6760823967816,38.7750619957448,-3.89422608550657,-2.50689176070199,-1.36391676214215,-5.45374606700489,-12.6116235005125,-19.0896545352069,-6.2086056620527,-2.61106557584618,12.5901465505695,1.92321481369446,-8.45263913717502,-13.7449477776668,-20.2694575260903,13.0312230994173,-10.7149409756747,-6.62265790567885,-0.825500641309469,-20.9098648800396,-36.8125528658047,-3.03101477075885,0.288639579544533,4.70676840574081,-1.73650419897779,-26.3788444461551,-23.2350875606868,7.84657533410378,12.4756452666633,9.78319637868633,13.3879367848069,1.94750163976859,10.095431917413,15.0383669350195,18.207105922937,-5.71576787742088,-16.7364720972256,-21.1574050231994,-6.64744998188674,-13.7362072654993,-19.5687598473861,7.54203217182649,7.32255327909371,9.90001017803452,8.51865543419012,2.58751357916591,12.0081418859515,9.96281185644029,-47.438657088265,-61.4362360870499,-29.7264806176571,-6.61739807519794,-0.0525294541367016,-0.972768308307033,-0.0785725541446918,9.95184558656842,-3.66828295334065,7.15849190697614,12.6717267897151,4.56464829462587,1.45580632856355,9.85127297353384,3.73533184679543,4.99100290334238,-3.36527075657381,2.37192190262131,6.82038046103054,8.03111818350223,5.05517372883956,6.36182916925302,14.9811659091425,1.28999280610336,11.4030653674576,8.01088019653964,-3.31524792466974,-9.18455202357593,-1.89571516193583,6.64424056527379,-5.01572820758774,-11.3584348315181,-2.8305899104707,-14.819725985174,-15.9629133359297,-23.8665260574711,3.58964449157683,11.475734093886,9.67506575427923,8.73155250158713,-1.44908439552054,14.2033558200051,10.7962257686431,25.6892278516596,-5.8823121960676,-10.4978108199878,-17.8163984577001,-0.986692218976433,3.06965393945274,15.4095106967511,-8.8342896079049,-15.363348465704,-7.58872118557834,-2.13603227330696,5.57149411429138,6.64265024282993,-2.82994884351961,1.2262686930233,6.7087669009274,-15.7976647250098,13.8328972188842,18.4195355369801,-5.71614542255783,-6.92123965441773,-0.0807643662497157,4.36110962862448,0.0287479968269687,15.1184939639539,2.34708366895604,1.00669329917029,0.829944310114755,4.83333663491837,9.93511079256856,-8.23318343469707,-0.687639440504976,2.22526601138029,-4.41650898299917,0.237281028395247,12.5247906604013,11.6248724396855,3.00382636863951,13.7735751547593,7.99349206624736,-20.4821938986709,-49.5914434072927,-72.6232095031547,3.08609519219059,-0.545849464563635,-0.48826653454477,-0.0633664473667011,-11.1849414093463,-11.4012992463892,6.84385759352451,5.41047351294538,12.9916494793525,3.48891019861215,-6.17627842638326,3.24737832562197,-10.1757554951907,-6.60931651491558
"BGR",336.179165387406,15.6639147491472,23.8099638658406,33.8942283832396,44.9425021880918,35.4149698929115,3.6502158274236,8.26033872865387,21.2180373217066,-10.9558805132397,-6.92940843137909,-16.5195602207165,-7.48740497114243,-17.6978230569774,-18.9119002248082,-28.8640738719679,5.7661629061687,-3.98159345794518,-2.93016560495847,-4.72359853188784,3.49126863812742,-12.556226402842,-18.7705826130661,23.8437755808653,7.32668066465111,8.76281217345336,6.8809629349957,-1.5965387857882,-4.14423404818249,1.08504098116683,5.04177226983631,2.97166660993501,0.861103158306956,0.894420180485248,1.91512824207202,1.80805027897539,6.63159310389312,16.1259723624151,-1.85516972232961,-0.0939760868588448,-11.1040935581984,-15.1080271723572,-1.42538060085522,-1.45148128142264,-5.60865959151878,-13.2661033709859,-6.01374077523401,3.97331797724384,12.5767299571889,-0.345840596307788,12.9439956463845,14.521638224709,-63.6732258494659,-95.5219433240244,-3.92668417230734,9.89874645276408,1.96178128593583,-1.71087363842246,1.76233869831556,0.0995335175270158,-6.59065432701921,4.75747796246245,3.88198980280314,-5.38885201663753,-10.0495583013163,-5.79215703990924,4.84143974434504,-1.12335550477407,2.74352360536828,3.80651412169431,9.33759948154457,9.19597501585988,-8.77541599163278,-1.83891322052219,11.615856132247,9.25452963161554,4.040194898672,7.63579518909285,-6.86466769548498,-10.7089223811219,-31.7405708184206,-14.4959489457275,-7.60601386869101,-11.5107304116965,-3.16863366297581,-4.49316090575779,-9.13519006220185,-9.89566666716508,-1.35729598071998,-5.23199329345362,0.0333528395468151,4.94337410476841,2.53624959251912,11.2286466918395,-6.27560129109649,3.42968500784798,-9.07403498457994,-5.6608181334246,-12.2457733049773,0.900037737957979,9.32709765046515,7.53959047792804,1.94668048269954,-4.48062117379425,-2.00430920208329,11.0951130586051,12.9517634403239,20.964443336682,8.9164016409983,6.78590527632008,11.3282262854613,10.6524905624888,16.4685258019582,24.2218872636352,-0.361174499835079,11.1325538009321,3.26931668213086,16.6750792092445,-2.77354007462503,-4.75951366226419,-0.554122767159378,4.89329771145422,4.3802393696432,11.9109846578887,4.12608156176194,6.02544482147066,10.4986761765616,1.59542139360363,-5.8667945870264,-0.852977729546624,15.9990904304162,18.0287657410361,2.25427737002177,12.826899583689,16.2985525785948,-22.0140177739748,-35.9802329390944,-55.1368783172766,-3.61988602238853,1.74645525350878,-12.7686866334354,-2.90595944386041,-4.10150136877372,-5.286381949202,5.08008762752061,9.9478749294497,16.183568480995,15.009716754612,-4.11593808044729,-0.239442563055672,-4.6297611171933,-6.5135935781708
"BRA",332.287736803652,-3.88791657180799,-1.93484223557004,-2.28631509057293,0.84413787354951,-1.74032136438648,5.62926191392007,13.48081974281,21.0636776619271,-7.09955821204894,-11.4590161396572,-14.4589155446163,3.66293099674296,-1.17812570422312,-3.91526860616117,-9.44914871268006,-6.67392654429179,-10.8863293987517,-12.8930152186403,4.10681630262468,-7.04367467743336,-6.64607102637438,-3.77323943768632,-3.78006839864525,-0.989543975834319,0.458069952658088,6.51555475218047,3.57075167700107,2.78871876216818,-0.409274362220806,1.92485408010471,2.73962189100862,6.63733688936435,8.4606204582375,12.7486469778993,-0.59313414867691,6.18951796887032,18.2232275515873,-4.55804375568496,-1.30001904699144,-7.68076669070439,-10.3804010621674,-0.377734490332752,-2.69777157265134,-3.23902558301801,3.04334140893496,4.91167479867697,2.12251546642053,5.66797580384225,-0.499269358463503,5.09696642671028,10.6608176747992,-27.9358286662322,-27.9386304431019,5.24661380452843,6.89847398301953,2.5996593438983,3.69581797723628,4.93477968777244,8.98668923700865,-1.362747296032,5.72107995714147,10.6661025861395,-0.778116519819999,-1.43043648232385,1.62500524673399,4.44649396601167,9.89994442431264,14.2932968853235,4.85948555684031,9.6354639373882,7.81578147010572,1.91587485967001,6.14384150799009,8.44446193099748,2.26417663205628,7.34874569662175,11.012785826302,-4.44757232537891,-9.19871958291477,-11.0016636937419,2.10767552295863,-10.4909853362084,-13.5640577980746,-2.12356887520132,-1.8768196857711,-0.894779452286006,2.39758769867122,1.17395264811043,1.62072116379919,0.303035212949452,1.78695034894099,4.59020314062211,7.02850099065071,9.06545714716062,14.7315509025671,0.601692725134639,-2.08859721271895,-0.90511242715141,6.22904484259322,11.6907769078399,14.0357094512732,-2.12105338839964,1.22093433304825,0.354244877344829,8.4638299637548,10.3012842047697,15.2000170045855,0.837939754480668,3.8136599956481,3.92410727250665,-0.349701617494802,10.508996224052,11.834427490478,-6.11576699297501,3.25770868043515,7.22141512065013,10.9149306823579,-1.66016135046293,-3.34866660428642,-1.97494792517872,4.46328253551672,3.74908080917813,4.50298783576418,-12.2544253462244,-12.9988414826857,-0.0847035175363686,-3.23312739322254,-2.98497930956271,10.9075985921837,14.8790033691514,13.1937933608292,3.41078420499536,7.27011033147005,4.45386315945823,-13.4587849309324,-20.9603257266847,-18.7409010027503,0.197691209363024,-3.74081669424799,-4.51628950680284,1.25785601692452,-0.257007788979991,0.996097998306506,-3.43187274652789,6.66848612668683,8.17576557474626,4.77643674397658,1.18832975314697,-10.1279851649289,-6.81604686711208,-11.7532175148709
"CAN",404.584397964655,-1.49756100234358,12.4182407326118,25.098312341537,28.0162574595276,32.5229342338258,-4.51783346668354,1.2153344277039,6.52892901507991,-9.71760459552038,-16.8504744439997,-17.1695136733437,-46.8888794185033,-5.86202715339327,-1.59857071661414,-0.724685335082534,-9.9417603812034,-17.2991272402479,-14.9114517295931,-0.935862513931644,-45.2456634811249,-0.936084998858193,-4.58476345799544,7.70661444713212,5.76271649465488,4.29008751329682,13.4739491578978,14.444179169075,10.147189630127,-2.33109687345891,0.328480640771788,-1.24222454816002,5.11868510502636,9.01661812395969,12.5051484077727,4.75998188905371,12.0448358081345,20.8094278967189,-2.5677256094116,-6.93620959435967,-11.4731045564455,-14.5497265530261,-11.9259379633918,-19.1884783505262,-23.3516597061669,0.797900488716749,3.02162238971436,4.81489702245959,13.4017083964383,4.28094666072787,10.1595605633001,13.6177025628298,-32.7181260934041,-50.398679812889,-2.18939652334606,2.90539657293851,2.71200944484257,3.27505324805438,4.61721585574601,10.5735655785441,-11.4059917631331,4.13301140727217,6.97468870329008,-0.529550631727833,-1.96400500849308,-4.02868698711614,2.76970572381795,7.08117465629924,2.94046327078197,-0.488283115377914,6.38305906691163,10.515063262737,-4.33711164783166,3.33197322495668,10.214214291191,-0.696415192645111,7.05265587896503,7.84342306635439,-5.29790425944955,-7.95795127060507,-19.7192171055396,1.82458933397626,0.0791156998004621,-17.1751901747976,-0.24112975447373,-2.14895022259181,0.64867406931438,3.04190223508014,4.50621627804974,7.40403148444178,6.28167254062577,12.7534347891737,1.61256997900089,6.19590604852087,7.51739505208884,12.0083239635114,-4.25443146900509,-7.04166136013465,-6.35419099903309,-0.645948692051645,9.20004648241632,18.475175828645,-5.41484041694838,-7.39570290257287,-8.92889392069451,3.94444100466537,6.49844655546806,7.99786779444318,6.04918652288951,11.6775324615433,13.4435911531012,-0.458005732766386,-5.06935560151606,-8.33053215341351,3.35748485215137,4.68385821167067,4.40261531648711,9.59266177439737,-0.636307726165151,1.08813702781834,3.27691705331193,-1.13322493107346,11.3511950072087,18.5119818248551,1.10667187164575,1.85210412993193,3.83281197003463,-0.156180348285181,-3.74360066599017,-6.76930679973587,3.66998408747427,3.20504430196981,7.00140195530967,14.1624543568554,4.08444010216851,-14.4572550457804,-21.4346614373139,-24.1097868390644,-0.249408871877555,-0.59589757555241,-6.11751073739784,-4.42933137754671,-12.943413154923,-13.6750698926303,1.33401094283301,7.02314671527986,13.5365601392812,10.9151059564128,1.56192719261975,5.56809859710675,4.65554695824509,4.09950564412386
"CHE",403.073147027116,4.01502997383663,15.8286521074087,29.443815300384,39.7919316131775,33.9547022461637,-11.2041171844927,-11.0686644016007,-1.74086808445564,-11.7169469768335,-15.2259889737663,-20.1934891688812,0.420414824798594,-4.45908582172676,-8.76947850214864,-25.6400681242376,-7.73407807025271,-16.0089923105355,-15.9392827194948,-20.9406419206323,2.40131496194229,-3.76469207348202,4.41853325638552,-3.03298146126068,-24.2805987668369,6.03195660493507,11.6982341122358,6.70510388469761,1.56688783571056,-8.96141315676352,-1.69123205043986,7.82245357334105,12.2275069377121,12.7784292385903,11.0070781286658,1.41458733088376,6.02049997794857,11.3506131396183,3.96003430263049,-8.74110381061612,-14.0493539875069,-20.9530191828396,-10.6758122072744,-22.519481532536,-18.1502035768824,1.84252758542323,5.11415849611404,11.4387158466149,14.0031478138625,5.32003686709011,12.0133658801615,12.6149581451495,-41.5666574758455,-43.9905313016251,12.0733157227582,12.3866243866823,2.20429420362357,4.31522118516519,2.26809539749443,14.7470000456336,5.03961025489875,10.2570858912657,15.4216020920085,-3.19914785587153,-10.5771993177734,-5.78219333993674,6.30464500010682,3.2264189130826,2.77248636685854,-0.670189804834665,5.73777306415212,12.9224580169389,3.58523031635606,8.42154247344922,13.1839060361124,3.2334704797642,3.68879006387545,6.85147005056598,-2.60914506738313,-11.0612461099687,-20.7076017328359,-6.57944852759217,-14.0902569812622,0.000590109877241395,-0.91450823325111,-4.26049079617601,-32.801649425056,-35.5049094181928,-0.549021864662418,-6.10427562766969,-11.9715624186945,-4.73536523456346,6.56111746265394,2.15971792024406,4.09421075508947,9.69242672797769,-6.92431069629802,-8.71780596198509,-4.69859919902018,3.36734786667557,3.51271569314915,12.3685712645495,-9.21827328567875,-11.7463158868906,-17.5794985702238,6.8926233001698,9.72787173711309,9.51973046208629,0.566735601394789,10.2385028896065,13.9335404507477,-28.8029492653347,-19.90990931359,-17.5037167395895,-3.39686881207021,5.33986498076478,0.147732185877829,2.76455897036793,17.4354768808136,31.9055747482378,23.9341815800005,3.60783462059898,7.68077640587248,16.5306365749376,15.6924844105919,1.39943551540935,9.01827272608491,-6.44574616997998,-13.6324050788942,5.1232220223822,6.14257760069187,14.8812841946631,6.86256124188972,10.2585591902644,9.76582942858932,5.13004655666316,4.41223553394054,-29.1480987931077,-3.19295959499284,-4.53215937571985,-11.1771241995836,-6.62325955204377,-10.4122634589344,-25.083123326784,2.50226080044472,6.59367320162682,8.59601389248557,10.1134587087673,-5.1419651588599,2.06961672307438,7.58518031567753,-2.26072097287056
